,action_taken_name,loan_purpose_name,denial_reason_name_1
12850,Application denied by financial institution,Home purchase,Debt-to-income ratio
12851,Application denied by financial institution,Home purchase,Credit history
12852,Application denied by financial institution,Refinancing,Credit application incomplete
12853,Application denied by financial institution,Home purchase,Credit history
12854,Application denied by financial institution,Refinancing,Credit application incomplete
12855,Application denied by financial institution,Refinancing,Debt-to-income ratio
12856,Application denied by financial institution,Refinancing,Credit application incomplete
12857,Application denied by financial institution,Home purchase,Credit application incomplete
12858,Application denied by financial institution,Home improvement,Credit history
12859,Application denied by financial institution,Home purchase,Collateral
12860,Application denied by financial institution,Home purchase,Credit history
12861,Application denied by financial institution,Home purchase,Credit history
12862,Application denied by financial institution,Refinancing,Debt-to-income ratio
12863,Application denied by financial institution,Refinancing,Other
12864,Application denied by financial institution,Refinancing,Credit history
12865,Application denied by financial institution,Refinancing,Credit application incomplete
12866,Application denied by financial institution,Home purchase,Other
12867,Application denied by financial institution,Refinancing,Debt-to-income ratio
12868,Application denied by financial institution,Refinancing,Other
12869,Application denied by financial institution,Home improvement,Credit history
12870,Application denied by financial institution,Refinancing,Credit application incomplete
12871,Application denied by financial institution,Home purchase,Credit application incomplete
12872,Application denied by financial institution,Refinancing,Debt-to-income ratio
12873,Application denied by financial institution,Home improvement,Credit history
12874,Application denied by financial institution,Refinancing,Credit application incomplete
12875,Application denied by financial institution,Refinancing,Debt-to-income ratio
12876,Application denied by financial institution,Home purchase,Credit history
12877,Application denied by financial institution,Home improvement,Credit history
12878,Application denied by financial institution,Home purchase,Debt-to-income ratio
12879,Application denied by financial institution,Refinancing,Debt-to-income ratio
12880,Application denied by financial institution,Home improvement,Credit history
12881,Application denied by financial institution,Refinancing,Other
12882,Application denied by financial institution,Home purchase,Unverifiable information
12883,Application denied by financial institution,Home improvement,Collateral
12884,Application denied by financial institution,Refinancing,Collateral
12885,Application denied by financial institution,Refinancing,Credit history
12886,Application denied by financial institution,Home improvement,Credit history
12887,Application denied by financial institution,Home improvement,Other
12888,Application denied by financial institution,Home purchase,Unverifiable information
12889,Application denied by financial institution,Refinancing,Credit application incomplete
12890,Application denied by financial institution,Home purchase,Collateral
12891,Application denied by financial institution,Home purchase,Collateral
12892,Application denied by financial institution,Home improvement,Other
12893,Application denied by financial institution,Refinancing,Unverifiable information
12894,Application denied by financial institution,Refinancing,Credit application incomplete
12895,Application denied by financial institution,Refinancing,Other
12896,Application denied by financial institution,Refinancing,Credit application incomplete
12897,Application denied by financial institution,Refinancing,Credit history
12898,Application denied by financial institution,Refinancing,Credit application incomplete
12899,Application denied by financial institution,Home improvement,Other
12900,Application denied by financial institution,Refinancing,Credit application incomplete
12901,Application denied by financial institution,Home purchase,Debt-to-income ratio
12902,Application denied by financial institution,Home improvement,Credit history
12903,Application denied by financial institution,Home purchase,Collateral
12904,Application denied by financial institution,Home purchase,Collateral
12905,Application denied by financial institution,Refinancing,Collateral
12906,Application denied by financial institution,Home improvement,Credit history
12907,Application denied by financial institution,Home purchase,Unverifiable information
12908,Application denied by financial institution,Home purchase,Collateral
12909,Application denied by financial institution,Refinancing,Debt-to-income ratio
12910,Application denied by financial institution,Refinancing,Credit history
12911,Application denied by financial institution,Refinancing,Credit application incomplete
12912,Application denied by financial institution,Home purchase,Credit history
12913,Application denied by financial institution,Refinancing,Other
12914,Application denied by financial institution,Refinancing,Collateral
12915,Application denied by financial institution,Home improvement,Collateral
12916,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
12917,Application denied by financial institution,Home purchase,Collateral
12918,Application denied by financial institution,Home improvement,Credit history
12919,Application denied by financial institution,Refinancing,Other
12920,Application denied by financial institution,Refinancing,Debt-to-income ratio
12921,Application denied by financial institution,Home improvement,Debt-to-income ratio
12922,Application denied by financial institution,Refinancing,Debt-to-income ratio
12923,Application denied by financial institution,Home purchase,Other
12924,Application denied by financial institution,Refinancing,Credit history
12925,Application denied by financial institution,Home purchase,Debt-to-income ratio
12926,Application denied by financial institution,Refinancing,Credit application incomplete
12927,Application denied by financial institution,Refinancing,Debt-to-income ratio
12928,Application denied by financial institution,Refinancing,Credit history
12929,Application denied by financial institution,Home improvement,Other
12930,Application denied by financial institution,Refinancing,Other
12931,Application denied by financial institution,Refinancing,Collateral
12932,Application denied by financial institution,Refinancing,Other
12933,Application denied by financial institution,Home improvement,Credit history
12934,Application denied by financial institution,Home purchase,Debt-to-income ratio
12935,Application denied by financial institution,Refinancing,Credit history
12936,Application denied by financial institution,Home improvement,Credit history
12937,Application denied by financial institution,Refinancing,Collateral
12938,Application denied by financial institution,Home improvement,Credit history
12939,Application denied by financial institution,Refinancing,Debt-to-income ratio
12940,Application denied by financial institution,Home improvement,Debt-to-income ratio
12941,Application denied by financial institution,Home purchase,Other
12942,Application denied by financial institution,Home purchase,Credit history
12943,Application denied by financial institution,Refinancing,Other
12944,Application denied by financial institution,Home improvement,Debt-to-income ratio
12945,Application denied by financial institution,Refinancing,Debt-to-income ratio
12946,Application denied by financial institution,Refinancing,Collateral
12947,Application denied by financial institution,Home purchase,Collateral
12948,Application denied by financial institution,Refinancing,Debt-to-income ratio
12949,Application denied by financial institution,Refinancing,Collateral
12950,Application denied by financial institution,Refinancing,Collateral
12951,Application denied by financial institution,Home improvement,Debt-to-income ratio
12952,Application denied by financial institution,Refinancing,Credit history
12953,Application denied by financial institution,Refinancing,Collateral
12954,Application denied by financial institution,Refinancing,Collateral
12955,Application denied by financial institution,Home improvement,Credit history
12956,Application denied by financial institution,Refinancing,Debt-to-income ratio
12957,Application denied by financial institution,Refinancing,Debt-to-income ratio
12958,Application denied by financial institution,Home purchase,Collateral
12959,Application denied by financial institution,Refinancing,Debt-to-income ratio
12960,Application denied by financial institution,Home purchase,Credit history
12961,Application denied by financial institution,Refinancing,Debt-to-income ratio
12962,Application denied by financial institution,Refinancing,Credit application incomplete
12963,Application denied by financial institution,Home purchase,Debt-to-income ratio
12964,Application denied by financial institution,Home purchase,Debt-to-income ratio
12965,Application denied by financial institution,Home improvement,Credit history
12966,Application denied by financial institution,Refinancing,Collateral
12967,Application denied by financial institution,Home improvement,Debt-to-income ratio
12968,Application denied by financial institution,Refinancing,Credit history
12969,Application denied by financial institution,Refinancing,Collateral
12970,Application denied by financial institution,Refinancing,Debt-to-income ratio
12971,Application denied by financial institution,Refinancing,Collateral
12972,Application denied by financial institution,Home improvement,Credit history
12973,Application denied by financial institution,Home improvement,Credit application incomplete
12974,Application denied by financial institution,Home purchase,Credit history
12975,Application denied by financial institution,Refinancing,Credit history
12976,Application denied by financial institution,Refinancing,Credit application incomplete
12977,Application denied by financial institution,Home purchase,Credit history
12978,Application denied by financial institution,Home purchase,Collateral
12979,Application denied by financial institution,Refinancing,Collateral
12980,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
12981,Application denied by financial institution,Home purchase,Collateral
12982,Application denied by financial institution,Refinancing,Unverifiable information
12983,Application denied by financial institution,Home purchase,Debt-to-income ratio
12984,Application denied by financial institution,Home purchase,Credit application incomplete
12985,Application denied by financial institution,Refinancing,Credit history
12986,Application denied by financial institution,Home purchase,Debt-to-income ratio
12987,Application denied by financial institution,Home improvement,Credit history
12988,Application denied by financial institution,Home purchase,Credit history
12989,Application denied by financial institution,Home improvement,Credit history
12990,Application denied by financial institution,Home purchase,Credit application incomplete
12991,Application denied by financial institution,Home purchase,Debt-to-income ratio
12992,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
12993,Application denied by financial institution,Refinancing,Credit application incomplete
12994,Application denied by financial institution,Refinancing,Credit history
12995,Application denied by financial institution,Home improvement,Other
12996,Application denied by financial institution,Home improvement,Credit history
12997,Application denied by financial institution,Refinancing,Unverifiable information
12998,Application denied by financial institution,Refinancing,Credit application incomplete
12999,Application denied by financial institution,Home improvement,"Insufficient cash (downpayment, closing costs)"
13000,Application denied by financial institution,Home purchase,Credit application incomplete
13001,Application denied by financial institution,Home purchase,Other
13002,Application denied by financial institution,Refinancing,Collateral
13003,Application denied by financial institution,Refinancing,Credit application incomplete
13004,Application denied by financial institution,Home improvement,Debt-to-income ratio
13005,Application denied by financial institution,Home purchase,Debt-to-income ratio
13006,Application denied by financial institution,Home purchase,Collateral
13007,Application denied by financial institution,Refinancing,Collateral
13008,Application denied by financial institution,Refinancing,Collateral
13009,Application denied by financial institution,Home purchase,Debt-to-income ratio
13010,Application denied by financial institution,Home improvement,Debt-to-income ratio
13011,Application denied by financial institution,Home purchase,Debt-to-income ratio
13012,Application denied by financial institution,Refinancing,Collateral
13013,Application denied by financial institution,Refinancing,Debt-to-income ratio
13014,Application denied by financial institution,Refinancing,Credit history
13015,Application denied by financial institution,Refinancing,Credit history
13016,Application denied by financial institution,Refinancing,Credit history
13017,Application denied by financial institution,Refinancing,Credit application incomplete
13018,Application denied by financial institution,Refinancing,Other
13019,Application denied by financial institution,Refinancing,Collateral
13020,Application denied by financial institution,Home purchase,Other
13021,Application denied by financial institution,Home purchase,Credit history
13022,Application denied by financial institution,Home improvement,Credit history
13023,Application denied by financial institution,Refinancing,Debt-to-income ratio
13024,Application denied by financial institution,Home improvement,Unverifiable information
13025,Application denied by financial institution,Refinancing,Debt-to-income ratio
13026,Application denied by financial institution,Home improvement,Credit history
13027,Application denied by financial institution,Home improvement,Credit history
13028,Application denied by financial institution,Refinancing,Collateral
13029,Application denied by financial institution,Home improvement,Credit history
13030,Application denied by financial institution,Refinancing,Credit application incomplete
13031,Application denied by financial institution,Home improvement,Credit history
13032,Application denied by financial institution,Home improvement,Credit history
13033,Application denied by financial institution,Refinancing,Collateral
13034,Application denied by financial institution,Home purchase,Other
13035,Application denied by financial institution,Home improvement,Debt-to-income ratio
13036,Application denied by financial institution,Home improvement,Credit history
13037,Application denied by financial institution,Home improvement,Credit history
13038,Application denied by financial institution,Home improvement,Debt-to-income ratio
13039,Application denied by financial institution,Home improvement,Debt-to-income ratio
13040,Application denied by financial institution,Home improvement,Other
13041,Application denied by financial institution,Home purchase,Credit history
13042,Application denied by financial institution,Home purchase,Debt-to-income ratio
13043,Application denied by financial institution,Refinancing,Unverifiable information
13044,Application denied by financial institution,Home improvement,Debt-to-income ratio
13045,Application denied by financial institution,Home purchase,Collateral
13046,Application denied by financial institution,Refinancing,Other
13047,Application denied by financial institution,Refinancing,Collateral
13048,Application denied by financial institution,Home purchase,Debt-to-income ratio
13049,Application denied by financial institution,Home purchase,Credit history
13050,Application denied by financial institution,Refinancing,Collateral
13051,Application denied by financial institution,Home improvement,Debt-to-income ratio
13052,Application denied by financial institution,Refinancing,Collateral
13053,Application denied by financial institution,Home improvement,Debt-to-income ratio
13054,Application denied by financial institution,Home improvement,Other
13055,Application denied by financial institution,Refinancing,Debt-to-income ratio
13056,Application denied by financial institution,Home purchase,Other
13057,Application denied by financial institution,Home purchase,Collateral
13058,Application denied by financial institution,Home purchase,Collateral
13059,Application denied by financial institution,Home purchase,Credit application incomplete
13060,Application denied by financial institution,Home purchase,Collateral
13061,Application denied by financial institution,Home improvement,Debt-to-income ratio
13062,Application denied by financial institution,Refinancing,Credit history
13063,Application denied by financial institution,Refinancing,Collateral
13064,Application denied by financial institution,Refinancing,Collateral
13065,Application denied by financial institution,Home improvement,Credit history
13066,Application denied by financial institution,Refinancing,Credit application incomplete
13067,Application denied by financial institution,Home improvement,Debt-to-income ratio
13068,Application denied by financial institution,Refinancing,Debt-to-income ratio
13069,Application denied by financial institution,Home purchase,Debt-to-income ratio
13070,Application denied by financial institution,Refinancing,Employment history
13071,Application denied by financial institution,Home improvement,Credit history
13072,Application denied by financial institution,Home improvement,Credit history
13073,Application denied by financial institution,Home improvement,Credit history
13074,Application denied by financial institution,Home purchase,Collateral
13075,Application denied by financial institution,Refinancing,Debt-to-income ratio
13076,Application denied by financial institution,Home improvement,Other
13077,Application denied by financial institution,Home improvement,Credit history
13078,Application denied by financial institution,Home improvement,Debt-to-income ratio
13079,Application denied by financial institution,Home purchase,Other
13080,Application denied by financial institution,Home purchase,Debt-to-income ratio
13081,Application denied by financial institution,Home improvement,Unverifiable information
13082,Application denied by financial institution,Home purchase,Credit application incomplete
13083,Application denied by financial institution,Home purchase,Collateral
13084,Application denied by financial institution,Home improvement,Collateral
13085,Application denied by financial institution,Refinancing,Credit history
13086,Application denied by financial institution,Refinancing,Debt-to-income ratio
13087,Application denied by financial institution,Refinancing,Credit application incomplete
13088,Application denied by financial institution,Home improvement,Credit history
13089,Application denied by financial institution,Refinancing,Other
13090,Application denied by financial institution,Refinancing,Collateral
13091,Application denied by financial institution,Home purchase,Credit history
13092,Application denied by financial institution,Refinancing,Credit history
13093,Application denied by financial institution,Home improvement,Collateral
13094,Application denied by financial institution,Home improvement,Employment history
13095,Application denied by financial institution,Home purchase,Collateral
13096,Application denied by financial institution,Home purchase,Credit application incomplete
13097,Application denied by financial institution,Refinancing,Other
13098,Application denied by financial institution,Home improvement,Credit history
13099,Application denied by financial institution,Home purchase,Credit application incomplete
13100,Application denied by financial institution,Refinancing,Collateral
13101,Application denied by financial institution,Home purchase,Unverifiable information
13102,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
13103,Application denied by financial institution,Home purchase,Collateral
13104,Application denied by financial institution,Refinancing,Credit application incomplete
13105,Application denied by financial institution,Refinancing,Collateral
13106,Application denied by financial institution,Home purchase,Debt-to-income ratio
13107,Application denied by financial institution,Refinancing,Debt-to-income ratio
13108,Application denied by financial institution,Refinancing,Other
13109,Application denied by financial institution,Home purchase,Debt-to-income ratio
13110,Application denied by financial institution,Refinancing,Credit application incomplete
13111,Application denied by financial institution,Home improvement,Other
13112,Application denied by financial institution,Refinancing,Credit history
13113,Application denied by financial institution,Home improvement,Other
13114,Application denied by financial institution,Refinancing,Debt-to-income ratio
13115,Application denied by financial institution,Home purchase,Credit application incomplete
13116,Application denied by financial institution,Refinancing,Debt-to-income ratio
13117,Application denied by financial institution,Home purchase,Unverifiable information
13118,Application denied by financial institution,Refinancing,Credit history
13119,Application denied by financial institution,Home purchase,Other
13120,Application denied by financial institution,Home improvement,Credit history
13121,Application denied by financial institution,Refinancing,Credit application incomplete
13122,Application denied by financial institution,Home improvement,Credit history
13123,Application denied by financial institution,Refinancing,Credit application incomplete
13124,Application denied by financial institution,Home purchase,Employment history
13125,Application denied by financial institution,Refinancing,Employment history
13126,Application denied by financial institution,Home improvement,Credit history
13127,Application denied by financial institution,Refinancing,Employment history
13128,Application denied by financial institution,Refinancing,Credit application incomplete
13129,Application denied by financial institution,Refinancing,Collateral
13130,Application denied by financial institution,Home purchase,Other
13131,Application denied by financial institution,Refinancing,Credit history
13132,Application denied by financial institution,Refinancing,Credit history
13133,Application denied by financial institution,Home improvement,Credit application incomplete
13134,Application denied by financial institution,Refinancing,Credit application incomplete
13135,Application denied by financial institution,Refinancing,Credit history
13136,Application denied by financial institution,Refinancing,Collateral
13137,Application denied by financial institution,Refinancing,Credit history
13138,Application denied by financial institution,Refinancing,Debt-to-income ratio
13139,Application denied by financial institution,Refinancing,Credit application incomplete
13140,Application denied by financial institution,Refinancing,Debt-to-income ratio
13141,Application denied by financial institution,Refinancing,Collateral
13142,Application denied by financial institution,Home purchase,Debt-to-income ratio
13143,Application denied by financial institution,Home purchase,Credit application incomplete
13144,Application denied by financial institution,Refinancing,Debt-to-income ratio
13145,Application denied by financial institution,Home purchase,Collateral
13146,Application denied by financial institution,Refinancing,Collateral
13147,Application denied by financial institution,Home improvement,Credit history
13148,Application denied by financial institution,Refinancing,Credit application incomplete
13149,Application denied by financial institution,Refinancing,Credit application incomplete
13150,Application denied by financial institution,Home purchase,Debt-to-income ratio
13151,Application denied by financial institution,Refinancing,Credit history
13152,Application denied by financial institution,Refinancing,Debt-to-income ratio
13153,Application denied by financial institution,Refinancing,Credit history
13154,Application denied by financial institution,Refinancing,Collateral
13155,Application denied by financial institution,Home improvement,Debt-to-income ratio
13156,Application denied by financial institution,Home improvement,Debt-to-income ratio
13157,Application denied by financial institution,Home improvement,Credit history
13158,Application denied by financial institution,Home improvement,Debt-to-income ratio
13159,Application denied by financial institution,Refinancing,Credit history
13160,Application denied by financial institution,Refinancing,Collateral
13161,Application denied by financial institution,Refinancing,Debt-to-income ratio
13162,Application denied by financial institution,Refinancing,Collateral
13163,Application denied by financial institution,Home purchase,Debt-to-income ratio
13164,Application denied by financial institution,Refinancing,Collateral
13165,Application denied by financial institution,Refinancing,Other
13166,Application denied by financial institution,Home purchase,Debt-to-income ratio
13167,Application denied by financial institution,Home purchase,Mortgage insurance denied
13168,Application denied by financial institution,Refinancing,Debt-to-income ratio
13169,Application denied by financial institution,Refinancing,Collateral
13170,Application denied by financial institution,Home purchase,Credit history
13171,Application denied by financial institution,Refinancing,Other
13172,Application denied by financial institution,Refinancing,Debt-to-income ratio
13173,Application denied by financial institution,Refinancing,Credit history
13174,Application denied by financial institution,Home improvement,Credit history
13175,Application denied by financial institution,Home improvement,Debt-to-income ratio
13176,Application denied by financial institution,Home improvement,Other
13177,Application denied by financial institution,Home improvement,Credit history
13178,Application denied by financial institution,Home improvement,Debt-to-income ratio
13179,Application denied by financial institution,Home improvement,Credit history
13180,Application denied by financial institution,Home purchase,Credit application incomplete
13181,Application denied by financial institution,Refinancing,Debt-to-income ratio
13182,Application denied by financial institution,Home purchase,Other
13183,Application denied by financial institution,Refinancing,Credit application incomplete
13184,Application denied by financial institution,Refinancing,Other
13185,Application denied by financial institution,Home purchase,Credit history
13186,Application denied by financial institution,Refinancing,Other
13187,Application denied by financial institution,Refinancing,Employment history
13188,Application denied by financial institution,Refinancing,Credit history
13189,Application denied by financial institution,Refinancing,Credit application incomplete
13190,Application denied by financial institution,Home purchase,Debt-to-income ratio
13191,Application denied by financial institution,Refinancing,Debt-to-income ratio
13192,Application denied by financial institution,Refinancing,Debt-to-income ratio
13193,Application denied by financial institution,Refinancing,Debt-to-income ratio
13194,Application denied by financial institution,Refinancing,Credit history
13195,Application denied by financial institution,Home improvement,Credit history
13196,Application denied by financial institution,Refinancing,Collateral
13197,Application denied by financial institution,Home improvement,Credit history
13198,Application denied by financial institution,Home purchase,Debt-to-income ratio
13199,Application denied by financial institution,Refinancing,Credit history
13200,Application denied by financial institution,Home improvement,Debt-to-income ratio
13201,Application denied by financial institution,Refinancing,Other
13202,Application denied by financial institution,Home purchase,Debt-to-income ratio
13203,Application denied by financial institution,Home improvement,Credit history
13204,Application denied by financial institution,Home purchase,Debt-to-income ratio
13205,Application denied by financial institution,Refinancing,Credit history
13206,Application denied by financial institution,Home purchase,Collateral
13207,Application denied by financial institution,Refinancing,Other
13208,Application denied by financial institution,Refinancing,Credit application incomplete
13209,Application denied by financial institution,Home purchase,Unverifiable information
13210,Application denied by financial institution,Refinancing,Collateral
13211,Application denied by financial institution,Refinancing,Other
13212,Application denied by financial institution,Refinancing,Debt-to-income ratio
13213,Application denied by financial institution,Home purchase,Other
13214,Application denied by financial institution,Refinancing,Debt-to-income ratio
13215,Application denied by financial institution,Home purchase,Unverifiable information
13216,Application denied by financial institution,Home purchase,Collateral
13217,Application denied by financial institution,Refinancing,Debt-to-income ratio
13218,Application denied by financial institution,Refinancing,Debt-to-income ratio
13219,Application denied by financial institution,Refinancing,Debt-to-income ratio
13220,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
13221,Application denied by financial institution,Refinancing,Other
13222,Application denied by financial institution,Home improvement,Unverifiable information
13223,Application denied by financial institution,Home improvement,Credit history
13224,Application denied by financial institution,Refinancing,Debt-to-income ratio
13225,Application denied by financial institution,Refinancing,Credit history
13226,Application denied by financial institution,Refinancing,Credit history
13227,Application denied by financial institution,Refinancing,Debt-to-income ratio
13228,Application denied by financial institution,Refinancing,Collateral
13229,Application denied by financial institution,Home improvement,Credit history
13230,Application denied by financial institution,Refinancing,Debt-to-income ratio
13231,Application denied by financial institution,Refinancing,Debt-to-income ratio
13232,Application denied by financial institution,Refinancing,Credit application incomplete
13233,Application denied by financial institution,Refinancing,Collateral
13234,Application denied by financial institution,Home improvement,Other
13235,Application denied by financial institution,Home purchase,Credit application incomplete
13236,Application denied by financial institution,Home improvement,Other
13237,Application denied by financial institution,Refinancing,Credit application incomplete
13238,Application denied by financial institution,Home purchase,Credit history
13239,Application denied by financial institution,Refinancing,Collateral
13240,Application denied by financial institution,Refinancing,Other
13241,Application denied by financial institution,Home improvement,Credit history
13242,Application denied by financial institution,Home purchase,Collateral
13243,Application denied by financial institution,Refinancing,Collateral
13244,Application denied by financial institution,Refinancing,Debt-to-income ratio
13245,Application denied by financial institution,Home improvement,Debt-to-income ratio
13246,Application denied by financial institution,Home purchase,Credit history
13247,Application denied by financial institution,Refinancing,Credit history
13248,Application denied by financial institution,Refinancing,Collateral
13249,Application denied by financial institution,Refinancing,Credit application incomplete
13250,Application denied by financial institution,Home improvement,Credit application incomplete
13251,Application denied by financial institution,Home purchase,Debt-to-income ratio
13252,Application denied by financial institution,Home purchase,Credit history
13253,Application denied by financial institution,Home improvement,Collateral
13254,Application denied by financial institution,Refinancing,Credit application incomplete
13255,Application denied by financial institution,Refinancing,Debt-to-income ratio
13256,Application denied by financial institution,Home improvement,Collateral
13257,Application denied by financial institution,Refinancing,Debt-to-income ratio
13258,Application denied by financial institution,Home purchase,Other
13259,Application denied by financial institution,Home improvement,Credit history
13260,Application denied by financial institution,Home improvement,Collateral
13261,Application denied by financial institution,Home purchase,Collateral
13262,Application denied by financial institution,Home purchase,Credit application incomplete
13263,Application denied by financial institution,Home improvement,Credit application incomplete
13264,Application denied by financial institution,Home purchase,Collateral
13265,Application denied by financial institution,Home improvement,Credit history
13266,Application denied by financial institution,Home improvement,Debt-to-income ratio
13267,Application denied by financial institution,Home improvement,Credit history
13268,Application denied by financial institution,Refinancing,Collateral
13269,Application denied by financial institution,Home purchase,Unverifiable information
13270,Application denied by financial institution,Home purchase,Debt-to-income ratio
13271,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
13272,Application denied by financial institution,Home purchase,Collateral
13273,Application denied by financial institution,Home improvement,Collateral
13274,Application denied by financial institution,Refinancing,Collateral
13275,Application denied by financial institution,Home purchase,Credit application incomplete
13276,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
13277,Application denied by financial institution,Refinancing,Debt-to-income ratio
13278,Application denied by financial institution,Home purchase,Collateral
13279,Application denied by financial institution,Home purchase,Debt-to-income ratio
13280,Application denied by financial institution,Home improvement,Unverifiable information
13281,Application denied by financial institution,Refinancing,Debt-to-income ratio
13282,Application denied by financial institution,Home improvement,Collateral
13283,Application denied by financial institution,Refinancing,Collateral
13284,Application denied by financial institution,Home improvement,Credit application incomplete
13285,Application denied by financial institution,Home improvement,Credit history
13286,Application denied by financial institution,Home purchase,Collateral
13287,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
13288,Application denied by financial institution,Home improvement,Collateral
13289,Application denied by financial institution,Refinancing,Debt-to-income ratio
13290,Application denied by financial institution,Refinancing,Credit history
13291,Application denied by financial institution,Home improvement,Debt-to-income ratio
13292,Application denied by financial institution,Refinancing,Debt-to-income ratio
13293,Application denied by financial institution,Refinancing,Other
13294,Application denied by financial institution,Home improvement,Other
13295,Application denied by financial institution,Refinancing,Credit history
13296,Application denied by financial institution,Refinancing,Debt-to-income ratio
13297,Application denied by financial institution,Home purchase,Credit application incomplete
13298,Application denied by financial institution,Refinancing,Unverifiable information
13299,Application denied by financial institution,Refinancing,Collateral
13300,Application denied by financial institution,Home improvement,Credit history
13301,Application denied by financial institution,Home purchase,Collateral
13302,Application denied by financial institution,Home improvement,Credit history
13303,Application denied by financial institution,Home purchase,Credit history
13304,Application denied by financial institution,Home improvement,Credit history
13305,Application denied by financial institution,Home purchase,Credit history
13306,Application denied by financial institution,Refinancing,Other
13307,Application denied by financial institution,Refinancing,Debt-to-income ratio
13308,Application denied by financial institution,Refinancing,Debt-to-income ratio
13309,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
13310,Application denied by financial institution,Refinancing,Credit application incomplete
13311,Application denied by financial institution,Home purchase,Credit application incomplete
13312,Application denied by financial institution,Home purchase,Unverifiable information
13313,Application denied by financial institution,Refinancing,Other
13314,Application denied by financial institution,Home improvement,Credit history
13315,Application denied by financial institution,Home improvement,Debt-to-income ratio
13316,Application denied by financial institution,Home improvement,Credit history
13317,Application denied by financial institution,Refinancing,Collateral
13318,Application denied by financial institution,Refinancing,Credit history
13319,Application denied by financial institution,Home purchase,Debt-to-income ratio
13320,Application denied by financial institution,Refinancing,Collateral
13321,Application denied by financial institution,Refinancing,Credit application incomplete
13322,Application denied by financial institution,Refinancing,Other
13323,Application denied by financial institution,Refinancing,Debt-to-income ratio
13324,Application denied by financial institution,Refinancing,Debt-to-income ratio
13325,Application denied by financial institution,Home improvement,Collateral
13326,Application denied by financial institution,Home purchase,"Insufficient cash (downpayment, closing costs)"
13327,Application denied by financial institution,Refinancing,Collateral
13328,Application denied by financial institution,Home purchase,Collateral
13329,Application denied by financial institution,Refinancing,Credit history
13330,Application denied by financial institution,Refinancing,"Insufficient cash (downpayment, closing costs)"
13331,Application denied by financial institution,Home purchase,Other
13332,Application denied by financial institution,Refinancing,Other
13333,Application denied by financial institution,Home purchase,Debt-to-income ratio
13334,Application denied by financial institution,Refinancing,Collateral
13335,Application denied by financial institution,Home improvement,Credit history
13336,Application denied by financial institution,Refinancing,Debt-to-income ratio
13337,Application denied by financial institution,Home purchase,Credit history
13338,Application denied by financial institution,Home purchase,Credit history
13339,Application denied by financial institution,Refinancing,Credit application incomplete
13340,Application denied by financial institution,Home improvement,Debt-to-income ratio
13341,Application denied by financial institution,Refinancing,Debt-to-income ratio
13342,Application denied by financial institution,Refinancing,Debt-to-income ratio
13343,Application denied by financial institution,Home purchase,Debt-to-income ratio
13344,Application denied by financial institution,Home purchase,Credit history
13345,Application denied by financial institution,Refinancing,Collateral
13346,Application denied by financial institution,Refinancing,Credit history
13347,Application denied by financial institution,Home purchase,Unverifiable information
13348,Application denied by financial institution,Refinancing,Credit application incomplete
13349,Application denied by financial institution,Home purchase,Credit application incomplete
13350,Application denied by financial institution,Refinancing,Debt-to-income ratio
13351,Application denied by financial institution,Home improvement,Other
13352,Application denied by financial institution,Refinancing,Credit application incomplete
13353,Application denied by financial institution,Refinancing,Credit application incomplete
13354,Application denied by financial institution,Home purchase,Credit application incomplete
13355,Application denied by financial institution,Home purchase,Collateral
13356,Application denied by financial institution,Refinancing,Debt-to-income ratio
13357,Application denied by financial institution,Refinancing,Unverifiable information
13358,Application denied by financial institution,Refinancing,Collateral
13359,Application denied by financial institution,Refinancing,Other
13360,Application denied by financial institution,Refinancing,Credit history
13361,Application denied by financial institution,Refinancing,Collateral
13362,Application denied by financial institution,Refinancing,Credit application incomplete
13363,Application denied by financial institution,Home improvement,Credit history
13364,Application denied by financial institution,Home purchase,Credit history
13365,Application denied by financial institution,Refinancing,Credit history
13366,Application denied by financial institution,Home purchase,Debt-to-income ratio
13367,Application denied by financial institution,Home purchase,Debt-to-income ratio
13368,Application denied by financial institution,Refinancing,Debt-to-income ratio
13369,Application denied by financial institution,Home improvement,Credit history
13370,Application denied by financial institution,Home purchase,Credit history
13371,Application denied by financial institution,Home purchase,Other
13372,Application denied by financial institution,Home improvement,Credit history
13373,Application denied by financial institution,Refinancing,Debt-to-income ratio
13374,Application denied by financial institution,Refinancing,Debt-to-income ratio
13375,Application denied by financial institution,Refinancing,Debt-to-income ratio
13376,Application denied by financial institution,Refinancing,Credit history
13377,Application denied by financial institution,Home purchase,Debt-to-income ratio
13378,Application denied by financial institution,Refinancing,Credit history
13379,Application denied by financial institution,Home improvement,Credit history
13380,Application denied by financial institution,Refinancing,Debt-to-income ratio
